Tabla,Columna,Tipo,Largo,Obligatorio,Único,Default
VideoResponses,transcript,Text,50000,No,No,
VideoResponses,analysis_json,Text,8000,No,No,
VideoResponses,uploaded_at,DateTime,,Sí,No,
VideoResponses,analyzed_at,DateTime,,No,No,
VideoConsents,result_id,Var Char,40,Sí,No,
VideoConsents,accepted,Boolean,,Sí,No,false
VideoConsents,ip,Var Char,50,No,No,
VideoConsents,user_agent,Text,,No,No,
VideoConsents,privacy_notice_version,Var Char,50,Sí,No,
VideoConsents,accepted_at,DateTime,,Sí,No,
VideoConsents,withdrawn_at,DateTime,,No,No,
JobTrackingSnapshots,tenant_id,Var Char,40,Sí,No,
JobTrackingSnapshots,job_id,Var Char,40,No,No,
JobTrackingSnapshots,portal_token_hash,Var Char,40,Sí,No,
JobTrackingSnapshots,event_type,Var Char,40,Sí,No,
JobTrackingSnapshots,event_data,Text,2000,No,No,
JobTrackingSnapshots,client_ip_masked,Var Char,50,No,No,
JobTrackingSnapshots,user_agent,Text,,No,No,
JobTrackingSnapshots,occurred_at,DateTime,,Sí,No,
BotDecisions,tenant_id,Var Char,40,Sí,No,
BotDecisions,result_id,Var Char,40,Sí,No,
BotDecisions,job_id,Var Char,40,Sí,No,
BotDecisions,from_stage,Var Char,40,Sí,No,
BotDecisions,to_stage_proposed,Var Char,40,Sí,No,
BotDecisions,decision,Var Char,20,Sí,No,
BotDecisions,confidence,Int,,Sí,No,
BotDecisions,rationale,Text,2000,No,No,
BotDecisions,auto_executed,Boolean,,Sí,No,false
BotDecisions,created_at,DateTime,,Sí,No,
ReviewQueue,tenant_id,Var Char,40,Sí,No,
ReviewQueue,result_id,Var Char,40,Sí,No,
ReviewQueue,bot_decision_id,Var Char,40,Sí,No,
ReviewQueue,reason,Text,1000,Sí,No,
ReviewQueue,review_priority,Var Char,10,Sí,No,normal
ReviewQueue,resolved_at,DateTime,,No,No,
ReviewQueue,resolved_by,Var Char,100,No,No,
ReviewQueue,resolution,Var Char,20,No,No,
ReviewQueue,created_at,DateTime,,Sí,No,
BotTrainingExamples,tenant_id,Var Char,40,Sí,No,
BotTrainingExamples,result_id,Var Char,40,Sí,No,
BotTrainingExamples,bot_decision_id,Var Char,40,No,No,
BotTrainingExamples,scenario_summary,Text,2000,Sí,No,
BotTrainingExamples,bot_recommended,Var Char,40,Sí,No,
BotTrainingExamples,human_chose,Var Char,40,Sí,No,
BotTrainingExamples,override_reason,Text,2000,No,No,
BotTrainingExamples,created_at,DateTime,,Sí,No,
CandidatePool,tenant_id,Var Char,40,Sí,No,
CandidatePool,candidate_id,Var Char,40,Sí,No,
CandidatePool,result_id,Var Char,40,No,No,
CandidatePool,tags,Text,2000,No,No,
CandidatePool,languages,Text,500,No,No,
CandidatePool,disponible_para_outreach,Boolean,,Sí,No,true
CandidatePool,contact_preference,Var Char,30,No,No,
CandidatePool,notes_internal,Text,4000,No,No,
CandidatePool,last_updated_scores,DateTime,,No,No,
CandidatePool,added_at,DateTime,,Sí,No,
OutreachCampaigns,tenant_id,Var Char,40,Sí,No,
OutreachCampaigns,name,Var Char,255,Sí,No,
OutreachCampaigns,job_id,Var Char,40,No,No,
OutreachCampaigns,provider,Var Char,20,Sí,No,
OutreachCampaigns,status,Var Char,15,Sí,No,draft
OutreachCampaigns,invites_sent,Int,,Sí,No,0
OutreachCampaigns,accepted,Int,,Sí,No,0
OutreachCampaigns,replied,Int,,Sí,No,0
OutreachCampaigns,meeting_booked,Int,,Sí,No,0
OutreachCampaigns,started_at,DateTime,,Sí,No,
OutreachCampaigns,created_at,DateTime,,Sí,No,
OutreachInbox,tenant_id,Var Char,40,Sí,No,
OutreachInbox,campaign_id,Var Char,40,No,No,
OutreachInbox,contact_name,Var Char,255,Sí,No,
OutreachInbox,contact_linkedin,Text,,No,No,
OutreachInbox,contact_company,Var Char,255,No,No,
OutreachInbox,contact_role,Var Char,255,No,No,
OutreachInbox,channel,Var Char,20,Sí,No,
OutreachInbox,direction,Var Char,5,Sí,No,
OutreachInbox,body,Text,4000,Sí,No,
OutreachInbox,sent_at,DateTime,,Sí,No,
OutreachInbox,is_read,Boolean,,Sí,No,false
OutreachInbox,needs_response,Boolean,,Sí,No,false
OutreachInbox,created_at,DateTime,,Sí,No,
OutreachContacts,tenant_id,Var Char,40,Sí,No,
OutreachContacts,campaign_id,Var Char,40,Sí,No,
OutreachContacts,name,Var Char,255,Sí,No,
OutreachContacts,linkedin_url,Text,,No,No,
OutreachContacts,company,Var Char,255,No,No,
OutreachContacts,role,Var Char,255,No,No,
OutreachContacts,email,Var Char,255,No,No,
OutreachContacts,status,Var Char,30,Sí,No,
OutreachContacts,last_event_at,DateTime,,No,No,
OutreachContacts,created_at,DateTime,,Sí,No,
OutreachTemplates,tenant_id,Var Char,40,Sí,No,
OutreachTemplates,name,Var Char,255,Sí,No,
OutreachTemplates,channel,Var Char,20,Sí,No,
OutreachTemplates,body,Text,4000,Sí,No,
OutreachTemplates,vars,Text,500,No,No,
OutreachTemplates,created_at,DateTime,,Sí,No,
JobBossProfiles,job_id,Var Char,40,Sí,Sí,
JobBossProfiles,name,Var Char,255,Sí,No,
JobBossProfiles,role,Var Char,255,Sí,No,
JobBossProfiles,style_autonomy_consult,Var Char,10,Sí,No,
JobBossProfiles,evidence_quote,Text,1000,No,No,
JobBossProfiles,created_at,DateTime,,Sí,No,
RecruitStageMappings,tenant_id,Var Char,40,Sí,No,
RecruitStageMappings,sharktalents_stage,Var Char,40,Sí,No,
RecruitStageMappings,recruit_stage,Var Char,80,Sí,No,
RecruitStageMappings,created_at,DateTime,,Sí,No,
RecruitJobMappings,sharktalents_job_id,Var Char,40,Sí,No,
RecruitJobMappings,recruit_job_id,Var Char,80,Sí,No,
RecruitJobMappings,created_at,DateTime,,Sí,No,
RecruitSyncQueue,event_id,Var Char,40,Sí,Sí,
RecruitSyncQueue,event_type,Var Char,40,Sí,No,
RecruitSyncQueue,payload,Text,8000,Sí,No,
RecruitSyncQueue,status,Var Char,15,Sí,No,pending
RecruitSyncQueue,retry_count,Int,,Sí,No,0
RecruitSyncQueue,last_error,Text,2000,No,No,
RecruitSyncQueue,created_at,DateTime,,Sí,No,
RecruitSyncQueue,processed_at,DateTime,,No,No,
ContinueTokens,result_id,Var Char,40,Sí,No,
ContinueTokens,token_hash,Var Char,64,Sí,Sí,
ContinueTokens,phase,Var Char,30,Sí,No,
ContinueTokens,expires_at,DateTime,,Sí,No,
ContinueTokens,used_at,DateTime,,No,No,
ContinueTokens,created_at,DateTime,,Sí,No,
ClientNotifications,tenant_id,Var Char,40,Sí,No,
ClientNotifications,job_id,Var Char,40,Sí,No,
ClientNotifications,template_id,Var Char,40,No,No,
ClientNotifications,event_type,Var Char,50,Sí,No,
ClientNotifications,sent_at,DateTime,,Sí,No,
ClientNotificationTemplates,tenant_id,Var Char,40,Sí,No,
ClientNotificationTemplates,event_type,Var Char,50,Sí,No,
ClientNotificationTemplates,subject,Var Char,255,Sí,No,
ClientNotificationTemplates,body_html,Text,8000,Sí,No,
ClientNotificationTemplates,locale,Var Char,5,Sí,No,es
ClientNotificationTemplates,created_at,DateTime,,Sí,No,
IntegrationSecrets,tenant_id,Var Char,40,Sí,No,
IntegrationSecrets,provider,Var Char,40,Sí,No,
IntegrationSecrets,key_name,Var Char,80,Sí,No,
IntegrationSecrets,encrypted_value,Text,4000,Sí,No,
IntegrationSecrets,metadata,Text,2000,No,No,
IntegrationSecrets,expires_at,DateTime,,No,No,
IntegrationSecrets,created_at,DateTime,,Sí,No,
IntegrationSecrets,updated_at,DateTime,,Sí,No,
ZohoMeetings,tenant_id,Var Char,40,Sí,No,
ZohoMeetings,meeting_id,Var Char,80,Sí,Sí,
ZohoMeetings,booking_id,Var Char,80,No,No,
ZohoMeetings,result_id,Var Char,40,No,No,
ZohoMeetings,client_email,Var Char,255,No,No,
ZohoMeetings,scheduled_at,DateTime,,Sí,No,
ZohoMeetings,recording_url,Text,,No,No,
ZohoMeetings,transcript_status,Var Char,20,Sí,No,pending
ZohoMeetings,created_at,DateTime,,Sí,No,
IntegrationHealth,provider,Var Char,40,Sí,No,
IntegrationHealth,last_check_at,DateTime,,Sí,No,
IntegrationHealth,status,Var Char,20,Sí,No,
IntegrationHealth,error_message,Text,1000,No,No,
IntegrationHealth,latency_ms,Int,,No,No,
Briefings,tenant_id,Var Char,40,Sí,No,
Briefings,client_email,Var Char,255,Sí,No,
Briefings,client_name,Var Char,255,Sí,No,
Briefings,client_company,Var Char,255,No,No,
Briefings,booking_id,Var Char,80,Sí,Sí,
Briefings,transcript_url,Text,,No,No,
Briefings,transcript_text,Text,50000,No,No,
Briefings,draft_id,Var Char,40,No,No,
Briefings,status,Var Char,20,Sí,No,scheduled
Briefings,scheduled_at,DateTime,,Sí,No,
Briefings,completed_at,DateTime,,No,No,
Briefings,created_at,DateTime,,Sí,No,
